dataset_id,dataset_version,cohort,source_system,raw_path,raw_hash,processed_path,processed_hash,hash_algorithm,raw_row_count,processed_row_count,patient_count,session_count,idh_events,idh_prevalence,ih_events,ih_prevalence,cohort_definition_version,cohort_code_hash,candidate_feature_table_path,candidate_feature_table_hash,freeze_status,frozen_at_utc,notes
V3-SOURCE-20260723,v3_hbd_20260723,source,shenyi,/Users/cht/.cache/huggingface/hub/datasets--LongGoodbye--Shenyi-Fuding-original/snapshots/b125e7730d526b43c6cbd17dca3ff00b57b9cf1c/updated_dataset_shenyi.csv,607a7f115efa2db64c3f23190f82222978d10146570bdbf6e1f66118bd2320f9,data/v3/source_v3_hbd.csv,b967692a7a6d4289ecf7bd58b95550b7e8baa487120566e2f4d1775fdc547723,SHA-256,222836,211452,1628,211452,30694,0.14515823922214025,59978,0.2836482984317954,v3_hbd_data_protocol_1,9e53310bd7d2cf9a117368657fff579e7afc69a08d8f31e53552e861b3b0dd53,v3/data_contract/feature_allowlist.csv,0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,v3_frozen,2026-07-23T09:33:52+00:00,Internal V3 revalidation cohort; historical target patients are not newly untouched.
V3-TARGET-20260723,v3_hbd_20260723,target,fuding,/Users/cht/.cache/huggingface/hub/datasets--LongGoodbye--Shenyi-Fuding-original/snapshots/b125e7730d526b43c6cbd17dca3ff00b57b9cf1c/updated_dataset_fuding.csv,6fcfd523cd60aedc245d4b51e072aeca777f65e9a56554fdebaf45d3ee5f3813,data/v3/target_v3_hbd.csv,721c408a2ab2fa8504173ab0daa8442cbebf0f620033a17ca711264b58040be1,SHA-256,76519,74947,430,74947,28881,0.38535231563638306,8962,0.11957783500340241,v3_hbd_data_protocol_1,9e53310bd7d2cf9a117368657fff579e7afc69a08d8f31e53552e861b3b0dd53,v3/data_contract/feature_allowlist.csv,0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,v3_frozen,2026-07-23T09:33:52+00:00,Internal V3 revalidation cohort; historical target patients are not newly untouched.
