run_id,final_result_aliases,contract,model_architecture,alignment_strategy,seed,split_seed,configuration_hash,source_dataset_hash,target_dataset_hash,combined_dataset_hash,checkpoint_path,checkpoint_sha256,prediction_file,prediction_sha256,evaluation_file,evaluation_sha256,split_manifest_sha256,artifact_complete,reproducibility_status,confirmatory_eligibility
binary_20260719_044949_c6c955a30fc2,experiments/final_results/main_mechanism_aware,dual_binary_hemodynamic_v1,dual_branch,outcome_specific_coral,2024,20260715,c6c955a30fc2e862f36c33ca4472e1ba96fdf6939a8bf14c8aecba3b013de19a,fddb318b233831b6176e4866267f5a5cb4b69fdcbfe0de142179a66702ee817a,0e1e35efc93cdcff633ab0a2ba400af5024dc5a212b6beca4c165f65efc8ebf1,9c3eb45dae2a8fc6dba0de9198cbdc17b0e19a29096ea4c403b92768a0a2e351,experiments/binary_results/binary_20260719_044949_c6c955a30fc2/mlp_models.pt,41ee15495fc1762fa2a27b1c06c79491fd5c8544de49d1ad9ba5fd464bb15aea,experiments/binary_results/binary_20260719_044949_c6c955a30fc2/test_predictions.csv,f0578c61cfb8f0bbef7c58d8ab338b9d31850912e618d5abe81846aa15e5c298,experiments/binary_results/binary_20260719_044949_c6c955a30fc2/evaluation.json,1f810397e7291c3c24509952514c2d61a7f0e40f4addfffe337cc2eec363e9d1,6552a9085aed3f4b82ce3964768503d74ae28c038864b8d71c38af102513e568,true,historical_artifacts_only_input_hash_mismatch,no_architecture_matched_multiseed_set
binary_20260719_045758_ac450f0b30c2,experiments/final_results/baseline_finetune,dual_binary_hemodynamic_v1,single_encoder,target_update_no_alignment,2024,20260715,ac450f0b30c2f7e53c187b5be47ba425872a4b5379b4d2e0d3555a3f05a0fff9,fddb318b233831b6176e4866267f5a5cb4b69fdcbfe0de142179a66702ee817a,0e1e35efc93cdcff633ab0a2ba400af5024dc5a212b6beca4c165f65efc8ebf1,9c3eb45dae2a8fc6dba0de9198cbdc17b0e19a29096ea4c403b92768a0a2e351,experiments/binary_results/binary_20260719_045758_ac450f0b30c2/mlp_models.pt,4e929ca4e53f018a9de7b3bdb89dea426f61b00b39d37dc4be58124251157f35,experiments/binary_results/binary_20260719_045758_ac450f0b30c2/test_predictions.csv,e5bf57f20f8b36bbe758637de92f13a55aba2adfbdb8fb0dd7f0e4080c458184,experiments/binary_results/binary_20260719_045758_ac450f0b30c2/evaluation.json,10c04b643ea667fa20d6101d96192ebd9fcd828f967a2529d267cc577b05e169,6552a9085aed3f4b82ce3964768503d74ae28c038864b8d71c38af102513e568,true,historical_artifacts_only_input_hash_mismatch,no_architecture_matched_multiseed_set
binary_20260719_050719_9063e59f1867,experiments/final_results/baseline_global_coral,dual_binary_hemodynamic_v1,single_encoder,global_coral,2024,20260715,9063e59f1867ea320db23cc18e49f3bd23b3f6110f96f666e84f1d70b1a0b88f,fddb318b233831b6176e4866267f5a5cb4b69fdcbfe0de142179a66702ee817a,0e1e35efc93cdcff633ab0a2ba400af5024dc5a212b6beca4c165f65efc8ebf1,9c3eb45dae2a8fc6dba0de9198cbdc17b0e19a29096ea4c403b92768a0a2e351,experiments/binary_results/binary_20260719_050719_9063e59f1867/mlp_models.pt,2906d05f529e37ae2ff352ab19fb802d1f9c2e68b17a9ae8fbde19ced71b1f3d,experiments/binary_results/binary_20260719_050719_9063e59f1867/test_predictions.csv,2fd6595f38bf1fcbbade302b77bcf3b38e86bdd753f9cb8f8ce549acba2a0898,experiments/binary_results/binary_20260719_050719_9063e59f1867/evaluation.json,df9b36befdf7e48bf9d1a31ff42227e3da01b988ec8be6c4f73ccf7e70c94c30,6552a9085aed3f4b82ce3964768503d74ae28c038864b8d71c38af102513e568,true,historical_artifacts_only_input_hash_mismatch,no_architecture_matched_multiseed_set
binary_20260719_051519_f8c9214b2730,experiments/final_results/baseline_random_alignment,dual_binary_hemodynamic_v1,dual_branch,no_alignment,2024,20260715,f8c9214b27300fabe297218609d7a0a75f90584f1d3241f2ccba0f857219ff43,fddb318b233831b6176e4866267f5a5cb4b69fdcbfe0de142179a66702ee817a,0e1e35efc93cdcff633ab0a2ba400af5024dc5a212b6beca4c165f65efc8ebf1,9c3eb45dae2a8fc6dba0de9198cbdc17b0e19a29096ea4c403b92768a0a2e351,experiments/binary_results/binary_20260719_051519_f8c9214b2730/mlp_models.pt,9c94fbe6c15e9b7418b7e99f756e79a900eb969e83308797b8f2abb1c519f9d3,experiments/binary_results/binary_20260719_051519_f8c9214b2730/test_predictions.csv,0fdbc856b61a5d5c7eef9c94a1ba176360fda8a573d3ec1b76624cc39f1c44da,experiments/binary_results/binary_20260719_051519_f8c9214b2730/evaluation.json,5984f1022cc45b703416bfa52952114a313108fd12a2b673d6b72b560286c910,6552a9085aed3f4b82ce3964768503d74ae28c038864b8d71c38af102513e568,true,historical_artifacts_only_input_hash_mismatch,no_architecture_matched_multiseed_set
binary_20260719_052452_6913955efcfe,experiments/final_results/multiseed_seed42,dual_binary_hemodynamic_v1,dual_branch,outcome_specific_coral,42,20260715,6913955efcfe52c7fd0c383d219011cccb9df7f328d05f845b68b612ab43856c,fddb318b233831b6176e4866267f5a5cb4b69fdcbfe0de142179a66702ee817a,0e1e35efc93cdcff633ab0a2ba400af5024dc5a212b6beca4c165f65efc8ebf1,9c3eb45dae2a8fc6dba0de9198cbdc17b0e19a29096ea4c403b92768a0a2e351,experiments/binary_results/binary_20260719_052452_6913955efcfe/mlp_models.pt,0b58640018e07c3d6b014a44673c5c7076c0b3ee69abae2f88ecc3c8419f73b3,experiments/binary_results/binary_20260719_052452_6913955efcfe/test_predictions.csv,09f2700c5588160e03aa9a5d8fd9530483e89f957f2171f532396cc2fb75833c,experiments/binary_results/binary_20260719_052452_6913955efcfe/evaluation.json,ba1efa3eff879a03ba5fe0b7242be83ae9f1ce49c6ffadd4e559ebcf7a88036f,6552a9085aed3f4b82ce3964768503d74ae28c038864b8d71c38af102513e568,true,historical_artifacts_only_input_hash_mismatch,no_architecture_matched_multiseed_set
binary_20260719_053438_0be143d15776,experiments/final_results/multiseed_seed7,dual_binary_hemodynamic_v1,dual_branch,outcome_specific_coral,7,20260715,0be143d15776ace8665e8b849946b4a307147100edabf6c5cab114f5df4a0bbc,fddb318b233831b6176e4866267f5a5cb4b69fdcbfe0de142179a66702ee817a,0e1e35efc93cdcff633ab0a2ba400af5024dc5a212b6beca4c165f65efc8ebf1,9c3eb45dae2a8fc6dba0de9198cbdc17b0e19a29096ea4c403b92768a0a2e351,experiments/binary_results/binary_20260719_053438_0be143d15776/mlp_models.pt,3732455b32b49367859de938ca14189ebe604911b0fe9203a55fc4cbc8e8d9fe,experiments/binary_results/binary_20260719_053438_0be143d15776/test_predictions.csv,a0ce285581b9a2e8bbd6dd9de97c1fb3ee26212376a6827dcc794fee41f72ae6,experiments/binary_results/binary_20260719_053438_0be143d15776/evaluation.json,aae08a327c43eec0172e6b6eb608e1979f5f32cadbcde6cbb94fa27b4e433564,6552a9085aed3f4b82ce3964768503d74ae28c038864b8d71c38af102513e568,true,historical_artifacts_only_input_hash_mismatch,no_architecture_matched_multiseed_set
binary_20260719_054003_190b64e7fcd5,experiments/final_results/multiseed_seed13,dual_binary_hemodynamic_v1,dual_branch,outcome_specific_coral,13,20260715,190b64e7fcd5016ff136dc01259ecd720a61bd1671e89769f6d91618f70eb25e,fddb318b233831b6176e4866267f5a5cb4b69fdcbfe0de142179a66702ee817a,0e1e35efc93cdcff633ab0a2ba400af5024dc5a212b6beca4c165f65efc8ebf1,9c3eb45dae2a8fc6dba0de9198cbdc17b0e19a29096ea4c403b92768a0a2e351,experiments/binary_results/binary_20260719_054003_190b64e7fcd5/mlp_models.pt,da5fd426a1790f0e12fa364f7e2af78559be6847b007bbf6600903c3d78b8b7d,experiments/binary_results/binary_20260719_054003_190b64e7fcd5/test_predictions.csv,c570a3586dea62c190be8950a4e64856d6d4e90fcca4df4c112684c008c5fe0a,experiments/binary_results/binary_20260719_054003_190b64e7fcd5/evaluation.json,cd75029cea4ca9fe6a9534c8ea9bd70ed3cdc3bffbda7eebf1606979176d9869,6552a9085aed3f4b82ce3964768503d74ae28c038864b8d71c38af102513e568,true,historical_artifacts_only_input_hash_mismatch,no_architecture_matched_multiseed_set
binary_20260719_054454_fc09992c00bc,experiments/final_results/multiseed_seed99,dual_binary_hemodynamic_v1,dual_branch,outcome_specific_coral,99,20260715,fc09992c00bcd853c4af9dba5965231f32d05d97da09b5dd6e41cecc59a2c5e7,fddb318b233831b6176e4866267f5a5cb4b69fdcbfe0de142179a66702ee817a,0e1e35efc93cdcff633ab0a2ba400af5024dc5a212b6beca4c165f65efc8ebf1,9c3eb45dae2a8fc6dba0de9198cbdc17b0e19a29096ea4c403b92768a0a2e351,experiments/binary_results/binary_20260719_054454_fc09992c00bc/mlp_models.pt,acdbfc5b70373c6a98d947dbb661d4dd989a2b91d290d091d19e9db67341dfce,experiments/binary_results/binary_20260719_054454_fc09992c00bc/test_predictions.csv,ae770f0ed4046052009b8047c59a64ece16078c0fa8e80a22a6621f68fa1c629,experiments/binary_results/binary_20260719_054454_fc09992c00bc/evaluation.json,522ba628faafc57a748c88dc83277a009f14fabdbde90bcd80f8840d8eb95f49,6552a9085aed3f4b82ce3964768503d74ae28c038864b8d71c38af102513e568,true,historical_artifacts_only_input_hash_mismatch,no_architecture_matched_multiseed_set
