run_id,cohort,analysis_role,patients,sessions,idh_events,idh_prevalence,ih_events,ih_prevalence,split_seed,evidence_contract
binary_20260719_044949_c6c955a30fc2,Source,Overall registered cohort,1628,211452,30694,0.1451582392221402,59978,0.2836482984317954,20260715,dual_binary_hemodynamic_v1
binary_20260719_044949_c6c955a30fc2,Target,Overall registered cohort,430,74947,28881,0.385352315636383,8962,0.1195778350034024,20260715,dual_binary_hemodynamic_v1
binary_20260719_044949_c6c955a30fc2,Source,Source training,1465,187479,27367,0.14597368238576053,52531,0.28019671536545426,20260715,dual_binary_hemodynamic_v1
binary_20260719_044949_c6c955a30fc2,Source,Source validation,163,23973,3327,0.1387811287698661,7447,0.3106411379468569,20260715,dual_binary_hemodynamic_v1
binary_20260719_044949_c6c955a30fc2,Target,Target update,219,38483,14955,0.38861315386014605,4609,0.1197671699191851,20260715,dual_binary_hemodynamic_v1
binary_20260719_044949_c6c955a30fc2,Target,Target validation/calibration,39,6598,2351,0.3563200969990906,666,0.10093967869051228,20260715,dual_binary_hemodynamic_v1
binary_20260719_044949_c6c955a30fc2,Target,Held-out target test,172,29866,11575,0.38756445456371796,3687,0.12345141632625728,20260715,dual_binary_hemodynamic_v1
