Ablation,C-index,C-index_CI_lower,C-index_CI_upper,bootstrap_unit,n_bootstrap,seed,AUC_30m,AUC_60m,AUC_120m
no_clinical,0.8400497331610915,0.0,0.0,not_run,0,42,0.7415560285925584,0.8576425849833613,0.865513062437852
no_history,0.7477290566237045,0.0,0.0,not_run,0,42,0.5807393830236581,0.7844488036193727,0.7696684611234331
no_kan,0.8423376391791748,0.0,0.0,not_run,0,42,0.7336677716099999,0.86034616941118,0.8676006781708829
no_adversarial,0.8263183694297664,0.0,0.0,not_run,0,42,0.7354512540847639,0.8379959741344437,0.8504732209195691
