seed,cdan_cindex,cdan_ci_lower,cdan_ci_upper,zeroshot_cindex,coxph_cindex,cdan_vs_cox_delta
42,0.8382938434694656,0.8270304413653098,0.8495641580220956,0.8049117401254653,0.8298897900206712,0.008404053448794357
7,0.8312166892203595,0.8182768677145965,0.8403734886601203,0.803706383892643,0.8214973030605022,0.009719386159857346
13,0.8415793281188549,0.8289325920725981,0.8539515735157459,0.8256817712936863,0.835065622364808,0.006513705754046972
99,0.8313922948546836,0.8174156474976177,0.8421751211023603,0.7653380819203112,0.8330397849382453,-0.0016474900835616868
2024,0.841450317186751,0.8301796181906287,0.8515608502373407,0.8077353755045681,0.8349550672651849,0.0064952499215661375
MEAN ± STD,0.8368 ± 0.0052,,,0.8015 ± 0.0221,0.8309 ± 0.0057,+0.0059 ± 0.0044
