run_id,endpoint,strategy,threshold,net_benefit,interpretation_status
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,0.43,0.09466317974672837,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,0.44,0.09173594436100296,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,0.45,0.08892446868740983,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,0.46,0.08590841561443585,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,0.47000000000000003,0.08281392736613477,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,0.48000000000000004,0.08023015623631709,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,0.49,0.07785822425132913,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,0.5,0.0760731266322909,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,0.51,0.07355712659402475,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,0.52,0.07137715127569813,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,0.53,0.0690331708582021,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,0.54,0.0670240115996378,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,0.55,0.06509073863255876,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,0.56,0.06269823392973463,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,0.5700000000000001,0.06000367533120808,sensitivity_analysis_not_clinically_prespecified
