model,c_index,c_index_ci_lower,c_index_ci_upper,observed_rate_60m,mean_predicted_rate_60m,brier_60m,calibration_intercept_60m,calibration_slope_60m,observed_rate_120m,mean_predicted_rate_120m,brier_120m,calibration_intercept_120m,calibration_slope_120m
CDAN-GSN (current locked run),0.8303821585956926,0.8182100135047933,0.8397990874051805,0.146487470911605,0.12827214765000322,0.10022104167087174,0.24820917939418208,0.02806388892538126,0.25186334356345486,0.22279566265287087,0.13296012363393137,0.38020610831527923,0.045722072782784694
Local Cox update,0.8416972195797355,0.8310286704134234,0.8502196962279673,0.146487470911605,0.12407773162594465,0.09512874734155241,0.46297867408379384,0.12553891984238336,0.25186334356345486,0.2213121871327171,0.12742074038287468,0.5323867196020551,0.16816107892851187
