model,horizon_min,threshold,clinical_action,flagged_sessions_n,flagged_sessions_proportion,events_n,captured_events_n,event_capture_rate,ppv,workload_per_event_captured,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,delta_vs_treat_all,delta_vs_treat_none,false_positives_n
Local Cox update,30,0.1,intensified monitoring,0,0.0,47,0,0.0,,,0.0,-0.10994267189729669,0.0,0.10994267189729669,0.0,0
Local Cox update,30,0.2,ultrafiltration review,0,0.0,47,0,0.0,,,0.0,-0.24868550588445876,0.0,0.24868550588445876,0.0,0
Local Cox update,30,0.3,bedside reassessment,0,0.0,47,0,0.0,,,0.0,-0.4270691495822386,0.0,0.4270691495822386,0.0,0
Local Cox update,60,0.1,intensified monitoring,13740,0.30747197171436885,6473,5098,0.7875791750347598,0.3710334788937409,2.695174578265987,0.0925946646178481,0.0498355226352183,0.0,0.0427591419826298,0.0925946646178481,8642
Local Cox update,60,0.2,ultrafiltration review,7705,0.17242150961129635,6473,3635,0.5615634172717442,0.4717715768981181,2.1196698762035764,0.05857408194777004,-0.0689350370353794,0.0,0.12750911898314943,0.05857408194777004,4070
Local Cox update,60,0.3,bedside reassessment,4913,0.1099424888670083,6473,2663,0.41140120500540706,0.5420313454101364,1.8449117536612842,0.03801361214031566,-0.2216400423261479,0.0,0.25965365446646355,0.03801361214031566,2250
Local Cox update,120,0.1,intensified monitoring,22064,0.4956642853933594,11026,9875,0.8956103754761473,0.44756163886874545,2.2343291139240504,0.1914154348444684,0.1641081707128344,0.0,0.027307264131634007,0.1914154348444684,12189
Local Cox update,120,0.2,ultrafiltration review,14413,0.3237857752617154,11026,8157,0.7397968438236895,0.5659474085894678,1.7669486330758857,0.14811070674394572,0.05962169205193871,0.0,0.08848901469200701,0.14811070674394572,6256
Local Cox update,120,0.3,bedside reassessment,10375,0.23307274116008447,11026,6632,0.6014873934337022,0.6392289156626506,1.564384800965018,0.11295001893465298,-0.07471806622635577,0.0,0.18766808516100875,0.11295001893465298,3743
